nome;identificador;tipo_societario;no_grafo;porque;situacao_do_passeio;no_formulario;notas
Facchini;vazio;desconhecido;não;industrial 350;só inventário;não;
Supermercado Angeloni;vazio;desconhecido;não;industrial 351;só inventário;não;
Gasmig;vazio;desconhecido;não;industrial 352;só inventário;não;
Ugás Combustíveis;vazio;desconhecido;não;industrial 353;só inventário;não;
Record;record;sociedade anônima fechada;sim;"industrial 354; grupo fechado";grupo sem sócio;não;"Quadro de Sócios é só dirigentes; não mintar pessoa dono."
Braveo;vazio;desconhecido;não;industrial 355;só inventário;não;
Giassi;vazio;desconhecido;não;industrial 356;só inventário;não;
Super Mercado Zona Sul;vazio;desconhecido;não;industrial 357;só inventário;não;
South32 Minerals;vazio;desconhecido;não;industrial 358;só inventário;não;
Grupo Multi;vazio;desconhecido;não;industrial 359;só inventário;não;
Belenus;vazio;desconhecido;não;industrial 360;só inventário;não;
Direcional;16614075000100;sociedade anônima aberta;sim;industrial 361;árvore no grafo;sim;
Invepar;03758318000124;sociedade anônima aberta;sim;industrial 362;árvore no grafo;sim;
Petz;vazio;desconhecido;não;industrial 363;só inventário;não;
Vibra Agroindustrial;vazio;desconhecido;não;industrial 364;só inventário;não;
Bahiagás;vazio;desconhecido;não;industrial 365;só inventário;não;
Bem Brasil Alimentos;vazio;desconhecido;não;industrial 366;só inventário;não;
Afya;vazio;desconhecido;não;industrial 367;só inventário;não;
Cocatrel;vazio;desconhecido;não;industrial 368;só inventário;não;
Construtora Tenda;71476527000135;sociedade anônima aberta;sim;industrial 369;árvore no grafo;sim;
InterCement Brasil;vazio;desconhecido;não;industrial 370;só inventário;não;
PetroRecôncavo;03342704000130;sociedade anônima aberta;sim;industrial 371;árvore no grafo;sim;
Cedae;33352394000104;sociedade anônima aberta;sim;industrial 372;árvore no grafo;sim;
Grupo Comporte;vazio;desconhecido;não;industrial 373;só inventário;não;
Aura Minerals;vazio;desconhecido;não;industrial 374;só inventário;não;
Karoon Energy;vazio;desconhecido;não;industrial 375;só inventário;não;
Cotrisal;vazio;desconhecido;não;industrial 376;só inventário;não;
Getnet;vazio;desconhecido;não;industrial 377;só inventário;não;
Oi;76535764000143;sociedade anônima aberta;sim;"industrial 378; buraco do Formulário";buraco;buraco;
Stihl;vazio;desconhecido;não;industrial 379;só inventário;não;
Vigor;vazio;desconhecido;não;industrial 380;só inventário;não;
Rede 7;vazio;desconhecido;não;industrial 381;só inventário;não;
Unigel;vazio;desconhecido;não;industrial 382;só inventário;não;
Cagece;07040108000157;sociedade anônima aberta;sim;industrial 383;árvore no grafo;sim;
Fundação Butantan;vazio;desconhecido;não;industrial 384;só inventário;não;
WLM;33228024000151;sociedade anônima aberta;sim;industrial 385;árvore no grafo;sim;
Grupo Melo Cordeiro;vazio;desconhecido;não;industrial 386;só inventário;não;
J. Macêdo;14998371000119;sociedade anônima aberta;sim;industrial 387;árvore no grafo;sim;
Copérdia;vazio;desconhecido;não;industrial 388;só inventário;não;
Grupo Decio;vazio;desconhecido;não;industrial 389;só inventário;não;
Atlas Schindler;vazio;desconhecido;não;industrial 390;só inventário;não;
Rissul;vazio;desconhecido;não;industrial 391;só inventário;não;
Vulcabras;50926955000142;sociedade anônima aberta;sim;industrial 392;árvore no grafo;sim;
Metrô;vazio;desconhecido;não;industrial 393;só inventário;não;
Grupo CDM;vazio;desconhecido;não;industrial 394;só inventário;não;
Grupo Nissei;79430682000122;sociedade anônima aberta;sim;industrial 395;árvore no grafo;sim;
Colombo Agroindústria;vazio;desconhecido;não;industrial 396;só inventário;não;
Columbia Trading;vazio;desconhecido;não;industrial 397;só inventário;não;
Metal Group;vazio;desconhecido;não;industrial 398;só inventário;não;
Sapore;vazio;desconhecido;não;industrial 399;só inventário;não;
Arauco;vazio;desconhecido;não;industrial 400;só inventário;não;
Grupo Plaenge;vazio;desconhecido;não;industrial 401;só inventário;não;
Fortbras;vazio;desconhecido;não;industrial 402;só inventário;não;
Wilson Sons;vazio;desconhecido;não;industrial 403;só inventário;não;
Evonik;vazio;desconhecido;não;industrial 404;só inventário;não;
Oba Hortifruti;04972092000122;sociedade anônima aberta;sim;industrial 405;árvore no grafo;sim;
Santos Brasil;02762121000104;sociedade anônima aberta;sim;industrial 406;árvore no grafo;sim;
Compesa;vazio;desconhecido;não;industrial 407;só inventário;não;
Eucatex;56643018000166;sociedade anônima aberta;sim;industrial 408;árvore no grafo;sim;
Comlurb;vazio;desconhecido;não;industrial 409;só inventário;não;
CJ Selecta;vazio;desconhecido;não;industrial 410;só inventário;não;
Algar Telecom;71208516000174;sociedade anônima aberta;sim;industrial 411;árvore no grafo;sim;
Toyo Setal;vazio;desconhecido;não;industrial 412;só inventário;não;
CMAA;vazio;desconhecido;não;industrial 413;só inventário;não;
EDF Norte Fluminense;vazio;desconhecido;não;industrial 414;só inventário;não;
Log-In;42278291000124;sociedade anônima aberta;sim;industrial 415;árvore no grafo;sim;
TecBan;vazio;desconhecido;não;industrial 416;só inventário;não;
Ipiranga Agroindustrial;vazio;desconhecido;não;industrial 417;só inventário;não;
Libbs;vazio;desconhecido;não;industrial 418;só inventário;não;
Matrix Energia;vazio;desconhecido;não;industrial 419;só inventário;não;
Grupo Allos;05878397000132;sociedade anônima aberta;sim;industrial 420;árvore no grafo;sim;
Cobasi;vazio;desconhecido;não;industrial 421;só inventário;não;
Grupo Cimed;vazio;desconhecido;não;industrial 422;só inventário;não;
CEG Rio;vazio;desconhecido;não;industrial 423;só inventário;não;
Mataboi Alimentos;vazio;desconhecido;não;industrial 424;só inventário;não;
Friato;vazio;desconhecido;não;industrial 425;só inventário;não;
Solví Participações;vazio;desconhecido;não;industrial 426;só inventário;não;
Cejam;vazio;desconhecido;não;industrial 427;só inventário;não;
Lojas Quero Quero;96418264021802;sociedade anônima aberta;sim;industrial 428;árvore no grafo;sim;
Grupo Magnesita;vazio;desconhecido;não;industrial 429;só inventário;não;
Vipal Borrachas;87870952000144;sociedade anônima aberta;sim;industrial 430;árvore no grafo;sim;
Orígeo;vazio;desconhecido;não;industrial 431;só inventário;não;
Merck;vazio;desconhecido;não;industrial 432;só inventário;não;
Grendene;89850341000160;sociedade anônima aberta;sim;"industrial 433; lista de lançamento";árvore no grafo;sim;
Iguá;08159965000133;sociedade anônima aberta;sim;industrial 434;árvore no grafo;sim;
Arco Brasil;vazio;desconhecido;não;industrial 435;só inventário;não;
MGB;vazio;desconhecido;não;industrial 436;só inventário;não;
Mili;vazio;desconhecido;não;industrial 437;só inventário;não;
Arcelormittal Gonvarri;vazio;desconhecido;não;industrial 438;só inventário;não;
Cantu Store;41096674000119;sociedade anônima aberta;sim;industrial 439;árvore no grafo;sim;
Cocal;vazio;desconhecido;não;industrial 440;só inventário;não;
Plano&Plano;24230275000180;sociedade anônima aberta;sim;industrial 441;árvore no grafo;sim;
Distribuidora Rio Branco de Petróleo;vazio;desconhecido;não;industrial 442;só inventário;não;
Arlanxeo Brasil;vazio;desconhecido;não;industrial 443;só inventário;não;
Caesb;vazio;desconhecido;não;industrial 444;só inventário;não;
Tristão;vazio;desconhecido;não;industrial 445;só inventário;não;
Vivara;33839910000111;sociedade anônima aberta;sim;industrial 446;árvore no grafo;sim;
CPTM;vazio;desconhecido;não;industrial 447;só inventário;não;
Cruzeiro do Sul Educacional;62984091000102;sociedade anônima aberta;sim;industrial 448;árvore no grafo;sim;
Grupo GDM;vazio;desconhecido;não;industrial 449;só inventário;não;
Rede Santa Catarina;vazio;desconhecido;não;industrial 450;só inventário;não;
Multiplan Empreendimentos;07816890000153;sociedade anônima aberta;sim;"industrial 451; lista de lançamento";árvore no grafo;sim;
Logicalis Latin America;vazio;desconhecido;não;industrial 452;só inventário;não;
Coty Brasil;vazio;desconhecido;não;industrial 453;só inventário;não;
Elgin;vazio;desconhecido;não;industrial 454;só inventário;não;
Kalunga;43283811000150;sociedade anônima aberta;sim;industrial 455;árvore no grafo;sim;
Mineração Maracá;vazio;desconhecido;não;industrial 456;só inventário;não;
Cotripal;vazio;desconhecido;não;industrial 457;só inventário;não;
GJA Indústrias;vazio;desconhecido;não;industrial 458;só inventário;não;
Petronas;vazio;desconhecido;não;industrial 459;só inventário;não;
EPR;vazio;desconhecido;não;industrial 460;só inventário;não;
Heinz;vazio;desconhecido;não;industrial 461;só inventário;não;
OCS Investimentos;vazio;desconhecido;não;industrial 462;só inventário;não;
Copagril;vazio;desconhecido;não;industrial 463;só inventário;não;
Atento Brasil;vazio;desconhecido;não;industrial 464;só inventário;não;
Grupo Bazan;vazio;desconhecido;não;industrial 465;só inventário;não;
Nater Coop;vazio;desconhecido;não;industrial 466;só inventário;não;
Vicunha;vazio;desconhecido;não;industrial 467;só inventário;não;
Coop;vazio;desconhecido;não;industrial 468;só inventário;não;
Binatural;vazio;desconhecido;não;industrial 469;só inventário;não;
Nortox;vazio;desconhecido;não;industrial 470;só inventário;não;
Elétron Energy;vazio;desconhecido;não;industrial 471;só inventário;não;
Trinity;vazio;desconhecido;não;industrial 472;só inventário;não;
Portobello;83475913000191;sociedade anônima aberta;sim;industrial 473;árvore no grafo;sim;
Friomaster Participações;vazio;desconhecido;não;industrial 474;só inventário;não;
Santher;vazio;desconhecido;não;industrial 475;só inventário;não;
Jacto;vazio;desconhecido;não;industrial 476;só inventário;não;
Picpay;vazio;desconhecido;não;industrial 477;só inventário;não;
Destro Participações;vazio;desconhecido;não;industrial 478;só inventário;não;
FQM;vazio;desconhecido;não;industrial 479;só inventário;não;
BP - A Beneficência Portuguesa de São Paulo;vazio;desconhecido;não;industrial 480;só inventário;não;
Solfarma;vazio;desconhecido;não;industrial 481;só inventário;não;
Fujioka;vazio;desconhecido;não;industrial 482;só inventário;não;
Zoetis;vazio;desconhecido;não;industrial 483;só inventário;não;
GEES;vazio;desconhecido;não;industrial 484;só inventário;não;
Tramontina Cutelaria;vazio;desconhecido;não;industrial 485;só inventário;não;
Jalles Machado;02635522000195;sociedade anônima aberta;sim;industrial 486;árvore no grafo;sim;
CBC;vazio;desconhecido;não;industrial 487;só inventário;não;
Flora;vazio;desconhecido;não;industrial 488;só inventário;não;
Ourofino Agrociência;vazio;desconhecido;não;industrial 489;só inventário;não;
Holambra;vazio;desconhecido;não;industrial 490;só inventário;não;
Esfera;vazio;desconhecido;não;industrial 491;só inventário;não;
Kora Saúde;13270520000166;sociedade anônima aberta;sim;industrial 492;árvore no grafo;sim;
Porto Serviço;51430503000138;sociedade anônima aberta;sim;industrial 493;árvore no grafo;sim;
Romagnole;vazio;desconhecido;não;industrial 494;só inventário;não;
Cooperativa Tradição;vazio;desconhecido;não;industrial 495;só inventário;não;
Ferbasa;15141799000103;sociedade anônima aberta;sim;industrial 496;árvore no grafo;sim;
Grupo CVLB;vazio;desconhecido;não;industrial 497;só inventário;não;
Prodesp;vazio;desconhecido;não;industrial 498;só inventário;não;
Rede Mater Dei;16676520000159;sociedade anônima aberta;sim;industrial 499;árvore no grafo;sim;
IMC;17314329000120;sociedade anônima aberta;sim;industrial 500;árvore no grafo;sim;
Itaú Unibanco;60872504000123;sociedade anônima aberta;sim;"banks 1; lista de lançamento";árvore no grafo;sim;
Banco do Brasil;00000000000191;sociedade anônima aberta;sim;banks 2;árvore no grafo;sim;
Bradesco;60746948000112;sociedade anônima aberta;sim;"banks 3; lista de lançamento";árvore no grafo;sim;
Caixa;vazio;desconhecido;não;banks 4;só inventário;não;
Santander;90400888000142;sociedade anônima aberta;sim;banks 5;árvore no grafo;sim;
BTG Pactual;30306294000145;sociedade anônima aberta;sim;"banks 6; lista de lançamento";pulada-já-semente;sim;skip_redraw: não redesenhar.
Sicredi;vazio;desconhecido;não;banks 7;só inventário;não;
Sicoob;vazio;desconhecido;não;banks 8;só inventário;não;
Safra;vazio;desconhecido;não;banks 9;só inventário;não;
Citibank;vazio;desconhecido;não;banks 10;só inventário;não;
Banco XP;vazio;desconhecido;não;banks 11;só inventário;não;
Banrisul;92702067000196;sociedade anônima aberta;sim;banks 12;árvore no grafo;sim;
BV;vazio;desconhecido;não;banks 13;só inventário;não;
J. P. Morgan;vazio;desconhecido;não;banks 14;só inventário;não;
Nubank;vazio;desconhecido;não;banks 15;só inventário;não;
BNP Paribas;vazio;desconhecido;não;banks 16;só inventário;não;
Daycoval;62232889000190;sociedade anônima aberta;sim;"banks 17; lista de lançamento";árvore no grafo;sim;
C6;vazio;desconhecido;não;banks 18;só inventário;não;
Banco Inter;vazio;desconhecido;não;banks 19;só inventário;não;
ABC Brasil;28195667000106;sociedade anônima aberta;sim;banks 20;árvore no grafo;sim;
Banco do Nordeste;07237373000120;sociedade anônima aberta;sim;banks 21;pulada-já-semente;sim;skip_redraw: não redesenhar.
Master;vazio;desconhecido;não;banks 22;só inventário;não;
Rabobank International;vazio;desconhecido;não;banks 23;só inventário;não;
BRB;00000208000100;sociedade anônima aberta;sim;"banks 24; buraco do Formulário";buraco;buraco;
Banco da Amazônia;04902979000144;sociedade anônima aberta;sim;banks 25;árvore no grafo;sim;
Volkswagen;vazio;desconhecido;não;banks 26;só inventário;não;
BMG;61186680000174;sociedade anônima aberta;sim;banks 27;árvore no grafo;sim;
Goldman Sachs;vazio;desconhecido;não;banks 28;só inventário;não;
Bank of America Merrill Lynch;vazio;desconhecido;não;banks 29;só inventário;não;
BancoSeguro;vazio;desconhecido;não;banks 30;só inventário;não;
Mizuho;vazio;desconhecido;não;banks 31;só inventário;não;
Banestes;28127603000178;sociedade anônima aberta;sim;banks 32;árvore no grafo;sim;
MUFG Brasil;vazio;desconhecido;não;banks 33;só inventário;não;
BOCOM BBM;vazio;desconhecido;não;banks 34;só inventário;não;
Clássico;vazio;desconhecido;não;banks 35;só inventário;não;
Deutsche Bank;vazio;desconhecido;não;banks 36;só inventário;não;
Agibank;vazio;desconhecido;não;banks 37;só inventário;não;
CNH Capital;vazio;desconhecido;não;banks 38;só inventário;não;
Pine;62144175000120;sociedade anônima aberta;sim;banks 39;árvore no grafo;sim;
Original;vazio;desconhecido;não;banks 40;só inventário;não;
Crédit Agricole;vazio;desconhecido;não;banks 41;só inventário;não;
PicPay Bank;vazio;desconhecido;não;banks 42;só inventário;não;
Mercantil do Brasil;17184037000110;sociedade anônima aberta;sim;banks 43;árvore no grafo;sim;
Morgan Stanley;vazio;desconhecido;não;banks 44;só inventário;não;
Société Générale Brasil;vazio;desconhecido;não;banks 45;só inventário;não;
HSBC;vazio;desconhecido;não;banks 46;só inventário;não;
Carrefour Soluções Financeiras;vazio;desconhecido;não;banks 47;só inventário;não;
Fibra;vazio;desconhecido;não;banks 48;só inventário;não;
Mercedes-Benz;vazio;desconhecido;não;banks 49;só inventário;não;
Credit Suisse;vazio;desconhecido;não;banks 50;só inventário;não;
Banpará;04913711000108;sociedade anônima aberta;sim;banks 51;árvore no grafo;sim;
GM;vazio;desconhecido;não;banks 52;só inventário;não;
Volvo;vazio;desconhecido;não;banks 53;só inventário;não;
John Deere;vazio;desconhecido;não;banks 54;só inventário;não;
Sofisa;vazio;desconhecido;não;banks 55;só inventário;não;
Scania;vazio;desconhecido;não;banks 56;só inventário;não;
De Lage Landen;vazio;desconhecido;não;banks 57;só inventário;não;
BR Partners;vazio;desconhecido;não;banks 58;só inventário;não;
Scotiabank;vazio;desconhecido;não;banks 59;só inventário;não;
RCI Brasil;62307848000115;sociedade anônima aberta;sim;banks 60;árvore no grafo;sim;
Sumitomo Mitsui;vazio;desconhecido;não;banks 61;só inventário;não;
Banese;13009717000146;sociedade anônima aberta;sim;banks 62;árvore no grafo;sim;
Toyota do Brasil;vazio;desconhecido;não;banks 63;só inventário;não;
BS2;vazio;desconhecido;não;banks 64;só inventário;não;
Stellantis;vazio;desconhecido;não;banks 65;só inventário;não;
Paraná;14388334000199;sociedade anônima aberta;sim;banks 66;árvore no grafo;sim;
Banco Inbursa;vazio;desconhecido;não;banks 67;só inventário;não;
Honda;vazio;desconhecido;não;banks 68;só inventário;não;
Digimais;vazio;desconhecido;não;banks 69;só inventário;não;
Paccar;vazio;desconhecido;não;banks 70;só inventário;não;
Voiter;vazio;desconhecido;não;banks 71;só inventário;não;
Industrial do Brasil;vazio;desconhecido;não;banks 72;só inventário;não;
Hyundai Capital;vazio;desconhecido;não;banks 73;só inventário;não;
Haitong;vazio;desconhecido;não;banks 74;só inventário;não;
Caterpillar;vazio;desconhecido;não;banks 75;só inventário;não;
Ouribank;vazio;desconhecido;não;banks 76;só inventário;não;
Intesa Sanpaolo;vazio;desconhecido;não;banks 77;só inventário;não;
Tribanco;vazio;desconhecido;não;banks 78;só inventário;não;
Yamaha Motor;vazio;desconhecido;não;banks 79;só inventário;não;
Banco da China;vazio;desconhecido;não;banks 80;só inventário;não;
NBC Bank;vazio;desconhecido;não;banks 81;só inventário;não;
Rendimento;vazio;desconhecido;não;banks 82;só inventário;não;
Cargill;vazio;desconhecido;não;banks 83;só inventário;não;
ABN AMRO;vazio;desconhecido;não;banks 84;só inventário;não;
Rodobens;vazio;desconhecido;não;banks 85;só inventário;não;
Genial;vazio;desconhecido;não;banks 86;só inventário;não;
Luso Brasileiro;vazio;desconhecido;não;banks 87;só inventário;não;
Omni;vazio;desconhecido;não;banks 88;só inventário;não;
KDB;vazio;desconhecido;não;banks 89;só inventário;não;
State Street Brasil;vazio;desconhecido;não;banks 90;só inventário;não;
Andbank;vazio;desconhecido;não;banks 91;só inventário;não;
Crefisa;vazio;desconhecido;não;banks 92;só inventário;não;
Randon;vazio;desconhecido;não;banks 93;só inventário;não;
IBM;vazio;desconhecido;não;banks 94;só inventário;não;
Guanabara;vazio;desconhecido;não;banks 95;só inventário;não;
Topázio;vazio;desconhecido;não;banks 96;só inventário;não;
Caixa Geral;vazio;desconhecido;não;banks 97;só inventário;não;
BBC;vazio;desconhecido;não;banks 98;só inventário;não;
BRP;vazio;desconhecido;não;banks 99;só inventário;não;
ICBC Brasil;vazio;desconhecido;não;banks 100;só inventário;não;
Bradesco Seguros;vazio;desconhecido;não;insurers 1;só inventário;não;
SulAmérica;vazio;desconhecido;não;insurers 2;só inventário;não;
Porto Seguro;02149205000169;sociedade anônima aberta;sim;"insurers 3; lista de lançamento";árvore no grafo;sim;
Mapfre Brasil;vazio;desconhecido;não;insurers 4;só inventário;não;
Brasilseg;vazio;desconhecido;não;insurers 5;só inventário;não;
Tokio Marine;vazio;desconhecido;não;insurers 6;só inventário;não;
Allianz Seguros;vazio;desconhecido;não;insurers 7;só inventário;não;
Yelum Seguradora;vazio;desconhecido;não;insurers 8;só inventário;não;
Zurich Minas Brasil;vazio;desconhecido;não;insurers 9;só inventário;não;
Itaú Seguros;vazio;desconhecido;não;insurers 10;só inventário;não;
HDI Seguros;vazio;desconhecido;não;insurers 11;só inventário;não;
Chubb Seguros;vazio;desconhecido;não;insurers 12;só inventário;não;
Caixa Seguradora (CNP/Caixa Seguridade);vazio;desconhecido;não;insurers 13;só inventário;não;
Sompo Seguros;vazio;desconhecido;não;insurers 14;só inventário;não;
XS3 Seguros (Caixa Seguridade);vazio;desconhecido;não;insurers 15;só inventário;não;
AXA;vazio;desconhecido;não;insurers 16;só inventário;não;
Cardif;vazio;desconhecido;não;insurers 17;só inventário;não;
Zurich Santander Brasil;vazio;desconhecido;não;insurers 18;só inventário;não;
Generali Brasil;vazio;desconhecido;não;insurers 19;só inventário;não;
Fairfax;vazio;desconhecido;não;insurers 20;só inventário;não;
HDI Global;vazio;desconhecido;não;insurers 21;só inventário;não;
Swiss Re;vazio;desconhecido;não;insurers 22;só inventário;não;
AIG Seguros;vazio;desconhecido;não;insurers 23;só inventário;não;
Suhai;vazio;desconhecido;não;insurers 24;só inventário;não;
Assurant;vazio;desconhecido;não;insurers 25;só inventário;não;
EZZE;vazio;desconhecido;não;insurers 26;só inventário;não;
Starr;vazio;desconhecido;não;insurers 27;só inventário;não;
Sura;vazio;desconhecido;não;insurers 28;só inventário;não;
Essor;vazio;desconhecido;não;insurers 29;só inventário;não;
Pottencial;vazio;desconhecido;não;insurers 30;só inventário;não;
Austral;vazio;desconhecido;não;insurers 31;só inventário;não;
AKAD;vazio;desconhecido;não;insurers 32;só inventário;não;
Aliança do Brasil;vazio;desconhecido;não;insurers 33;só inventário;não;
Kovr;vazio;desconhecido;não;insurers 34;só inventário;não;
Fator Seguradora;vazio;desconhecido;não;insurers 35;só inventário;não;
Mitsui Sumitomo;vazio;desconhecido;não;insurers 36;só inventário;não;
Junto;vazio;desconhecido;não;insurers 37;só inventário;não;
Alfa Seguradora;vazio;desconhecido;não;insurers 38;só inventário;não;
Sancor;vazio;desconhecido;não;insurers 39;só inventário;não;
Berkley International Brasil;vazio;desconhecido;não;insurers 40;só inventário;não;
Excelsior;vazio;desconhecido;não;insurers 41;só inventário;não;
Sombrero;vazio;desconhecido;não;insurers 42;só inventário;não;
Banestes Seguros;vazio;desconhecido;não;insurers 43;só inventário;não;
Santander Auto;vazio;desconhecido;não;insurers 44;só inventário;não;
HDI Seguros do Brasil;vazio;desconhecido;não;insurers 45;só inventário;não;
Gente Seguradora;vazio;desconhecido;não;insurers 46;só inventário;não;
BMG Seguros;vazio;desconhecido;não;insurers 47;só inventário;não;
Euler Hermes;vazio;desconhecido;não;insurers 48;só inventário;não;
Gazin;vazio;desconhecido;não;insurers 49;só inventário;não;
Coface Brasil;vazio;desconhecido;não;insurers 50;só inventário;não;
Itaúsa;61532644000115;sociedade anônima aberta;sim;lista de lançamento;árvore no grafo;sim;
Folha;folha;sociedade anônima fechada;sim;grupo fechado;grupo sem sócio;não;"Quadro de Sócios é só dirigentes; não mintar pessoa dono."
Excelsior Alimentos;95426862000197;sociedade anônima aberta;sim;;árvore no grafo;sim;Não confundir com a seguradora Excelsior (insurers 41).
