ranking_family,valor_rank,empresa,razao_social
industrial,459,Petronas,Petronas Lubrificantes Brasil S.A.
industrial,460,EPR,EPR Participações S.A.
industrial,461,Heinz,Heinz Brasil S.A.
industrial,462,OCS Investimentos,OCS Investimentos S.A.
industrial,463,Copagril,Cooperativa Agroindustrial Copagril
industrial,464,Atento Brasil,Atento Brasil S.A.
industrial,465,Grupo Bazan,Bazan Participações S.A.
industrial,466,Nater Coop,Cooperativa Agropecuária Centro Serrana
industrial,467,Vicunha,Vicunha Têxtil S.A.
industrial,468,Coop,Coop - Cooperativa de Consumo
industrial,469,Binatural,Binatural Energias Renováveis S.A.
industrial,470,Nortox,Nortox S.A.
industrial,471,Elétron Energy,ECEL - Elétron Comercializadora de Energia S.A.
industrial,472,Trinity,Trinity Energias Renováveis S.A.
industrial,473,Portobello,PBG S.A.
industrial,474,Friomaster Participações,Friomaster Participações S.A.
industrial,475,Santher,Fábrica de Papel Santa Therezinha S.A.
industrial,476,Jacto,Máquinas Agrícolas Jacto S.A.
industrial,477,Picpay,Picpay Instituição de Pagamento S.A.
industrial,478,Destro Participações,Destro Participações S.A.
industrial,479,FQM,Grupo FQM Holding S.A.
industrial,480,BP - A Beneficência Portuguesa de São Paulo,Real e Benemérita Associação Portuguesa de Beneficência
industrial,481,Solfarma,Solfarma Comércio de Produtos Farmacêuticos S.A.
industrial,482,Fujioka,Fujioka Eletro Imagem S.A.
industrial,483,Zoetis,Zoetis Indústria de Produtos Veterinários Ltda.
industrial,484,GEES,GEES S.A.
industrial,485,Tramontina Cutelaria,Tramontina S.A. Cutelaria
industrial,486,Jalles Machado,Jalles Machado S.A.
industrial,487,CBC,Companhia Brasileira de Cartuchos
industrial,488,Flora,Flora Produtos de Higiene e Limpeza S.A.
industrial,489,Ourofino Agrociência,Ouro Fino Química S.A.
industrial,490,Holambra,Cooperativa AgroIndustrial Holambra
industrial,491,Esfera,Esfera Fidelidade S.A.
industrial,492,Kora Saúde,Kora Saúde Participações S.A.
industrial,493,Porto Serviço,Porto Serviço S.A.
industrial,494,Romagnole,Romagnole Produtos Elétricos S.A.
industrial,495,Cooperativa Tradição,Cooperativa Agroindustrial Tradição
industrial,496,Ferbasa,Cia. de Ferro Ligas da Bahia Ferbasa
industrial,497,Grupo CVLB,CVLB Brasil S.A.
industrial,498,Prodesp,Companhia de Processamento de Dados do Estado de São Paulo
industrial,499,Rede Mater Dei,Hospital Mater Dei S.A.
industrial,500,IMC,International Meal Company Alimentação S.A.
banks,1,Itaú Unibanco,Itaú Unibanco Holding S.A.
banks,2,Banco do Brasil,Banco do Brasil S.A.
banks,3,Bradesco,Banco Bradesco S.A.
banks,4,Caixa,Caixa Econômica Federal
banks,5,Santander,Banco Santander (Brasil) S.A.
banks,6,BTG Pactual,Banco BTG Pactual S.A.
banks,7,Sicredi,Sistema Cooperativo Sicredi
banks,8,Sicoob,Sistema de Cooperativas de Crédito do Brasil
banks,9,Safra,Banco Safra S.A.
banks,10,Citibank,Banco Citibank S.A.
banks,11,Banco XP,Banco XP S.A.
banks,12,Banrisul,Banco do Estado do Rio Grande do Sul S.A.
banks,13,BV,Banco Votorantim S.A.
banks,14,J. P. Morgan,Banco J.P. Morgan S.A.
banks,15,Nubank,NU Pagamentos S.A.
banks,16,BNP Paribas,Banco BNP Paribas Brasil S.A.
banks,17,Daycoval,Banco Daycoval S.A.
banks,18,C6,Banco C6 S.A.
banks,19,Banco Inter,Banco Inter S.A.
banks,20,ABC Brasil,Banco ABC Brasil S.A.
banks,21,Banco do Nordeste,Banco do Nordeste do Brasil S.A.
banks,22,Master,Banco Master S.A.
banks,23,Rabobank International,Banco Rabobank International Brasil S.A.
banks,24,BRB,BRB - Banco de Brasília S.A.
banks,25,Banco da Amazônia,Banco da Amazônia S.A.
banks,26,Volkswagen,Banco Volkswagen S.A.
banks,27,BMG,Banco BMG S.A.
banks,28,Goldman Sachs,Goldman Sachs do Brasil Banco Múltiplo S.A.
banks,29,Bank of America Merrill Lynch,Bank of America Merrill Lynch Banco Múltiplo S.A.
banks,30,BancoSeguro,BancoSeguro S.A.
banks,31,Mizuho,Banco Mizuho do Brasil S.A.
banks,32,Banestes,Banestes S.A. Banco do Estado do Espírito Santo
banks,33,MUFG Brasil,Banco MUFG Brasil S.A.
banks,34,BOCOM BBM,Banco Bocom BBM S.A.
banks,35,Clássico,Banco Clássico S.A.
banks,36,Deutsche Bank,Deutsche Bank S.A. - Banco Alemão
banks,37,Agibank,Banco Agibank S.A.
banks,38,CNH Capital,Banco CNH Industrial Capital S.A.
banks,39,Pine,Banco Pine S.A.
banks,40,Original,Banco Original S.A.
banks,41,Crédit Agricole,Banco Crédit Agricole Brasil S.A.
banks,42,PicPay Bank,PicPay Bank - Banco Múltiplo S.A.
banks,43,Mercantil do Brasil,Banco Mercantil do Brasil S.A.
banks,44,Morgan Stanley,Banco Morgan Stanley S.A.
banks,45,Société Générale Brasil,Banco Société Générale Brasil S.A.
banks,46,HSBC,Banco HSBC S.A.
banks,47,Carrefour Soluções Financeiras,Banco CSF S.A.
banks,48,Fibra,Banco Fibra S.A.
banks,49,Mercedes-Benz,Banco Mercedes-Benz do Brasil S.A.
banks,50,Credit Suisse,Banco de Investimentos Credit Suisse (Brasil) S.A.
banks,51,Banpará,Banco do Estado do Pará S.A.
banks,52,GM,Banco GM S.A.
banks,53,Volvo,Banco Volvo (Brasil) S.A.
banks,54,John Deere,Banco John Deere S.A.
banks,55,Sofisa,Banco Sofisa S.A.
banks,56,Scania,Scania Banco S.A.
banks,57,De Lage Landen,Banco de Lage Landen Brasil S.A.
banks,58,BR Partners,BR Partners Banco de Investimento S.A.
banks,59,Scotiabank,Scotiabank Brasil S.A. Banco Múltiplo
banks,60,RCI Brasil,Banco RCI Brasil S.A.
banks,61,Sumitomo Mitsui,Banco Sumitomo Mitsui Brasileiro S.A.
banks,62,Banese,Banco do Estado de Sergipe S.A.
banks,63,Toyota do Brasil,Banco Toyota do Brasil S.A.
banks,64,BS2,Banco BS2 S.A.
banks,65,Stellantis,Banco Stellantis S.A.
banks,66,Paraná,Paraná Banco S.A.
banks,67,Banco Inbursa,Banco Inbursa S.A.
banks,68,Honda,Banco Honda S.A.
banks,69,Digimais,Banco Digimais S.A.
banks,70,Paccar,Banco Paccar S.A.
banks,71,Voiter,Banco Voiter S.A.
banks,72,Industrial do Brasil,Banco Industrial do Brasil S.A.
banks,73,Hyundai Capital,Banco Hyundai Capital Brasil S.A.
banks,74,Haitong,Haitong Banco de Investimento do Brasil S.A.
banks,75,Caterpillar,Banco Caterpillar S.A.
banks,76,Ouribank,Ouribank S.A. Banco Múltiplo
banks,77,Intesa Sanpaolo,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo
banks,78,Tribanco,Banco Triângulo S.A.
banks,79,Yamaha Motor,Banco Yamaha Motor do Brasil S.A.
banks,80,Banco da China,Banco da China Brasil S.A.
banks,81,NBC Bank,Novo Banco Continental S.A. - Banco Múltiplo
banks,82,Rendimento,Banco Rendimento S.A.
banks,83,Cargill,Banco Cargill S.A.
banks,84,ABN AMRO,Banco ABN AMRO Clearing S.A.
banks,85,Rodobens,Banco Rodobens S.A.
banks,86,Genial,Banco Genial S.A.
banks,87,Luso Brasileiro,Banco Luso Brasileiro S.A.
banks,88,Omni,Omni Banco S.A.
banks,89,KDB,Banco KDB do Brasil S.A.
banks,90,State Street Brasil,State Street Brasil S.A. - Banco Comercial
banks,91,Andbank,Banco Andbank Brasil S.A.
banks,92,Crefisa,Banco Crefisa S.A.
banks,93,Randon,Banco Randon S.A.
banks,94,IBM,Banco IBM S.A.
banks,95,Guanabara,Banco Guanabara S.A.
banks,96,Topázio,Banco Topázio S.A.
banks,97,Caixa Geral,Banco Caixa Geral - Brasil S.A.
banks,98,BBC,Banco Brasileiro de Crédito S.A.
banks,99,BRP,Banco Ribeirão Preto S.A.
banks,100,ICBC Brasil,ICBC do Brasil Banco Múltiplo S.A.
insurers,1,Bradesco Seguros,Bradesco Seguros S.A.
insurers,2,SulAmérica,Sul América S.A.
insurers,3,Porto Seguro,Porto Seguro S.A.
insurers,4,Mapfre Brasil,Mapfre Brasil Participações S.A.
insurers,5,Brasilseg,Brasilseg Companhia de Seguros
insurers,6,Tokio Marine,Tokio Marine Seguradora S.A.
insurers,7,Allianz Seguros,Allianz Seguros S.A.
insurers,8,Yelum Seguradora,Yelum Seguros S.A.
insurers,9,Zurich Minas Brasil,Zurich Minas Brasil Seguros S.A.
insurers,10,Itaú Seguros,Itaú Seguros S.A.
insurers,11,HDI Seguros,HDI Seguros S.A.
insurers,12,Chubb Seguros,Chubb Seguros Brasil S.A.
insurers,13,Caixa Seguradora (CNP/Caixa Seguridade),Caixa Seguradora S.A.
insurers,14,Sompo Seguros,Sompo Seguros S.A.
insurers,15,XS3 Seguros (Caixa Seguridade),XS3 Seguros S.A.
insurers,16,AXA,AXA Seguros S.A.
insurers,17,Cardif,Cardif do Brasil Seguros e Garantias S.A.
insurers,18,Zurich Santander Brasil,Zurich Santander Brasil Seguros S.A.
insurers,19,Generali Brasil,Generali Brasil Seguros S.A.
insurers,20,Fairfax,Fairfax Brasil Seguros Corporativos S.A.
insurers,21,HDI Global,HDI Global Seguros S.A.
insurers,22,Swiss Re,Swiss Re Corporate Solutions Brasil Seguros S.A.
insurers,23,AIG Seguros,AIG Seguros Brasil S.A.
insurers,24,Suhai,Suhai Seguradora S.A.
insurers,25,Assurant,Assurant Seguradora S.A.
insurers,26,EZZE,EZZE Seguros S.A.
insurers,27,Starr,STARR International Brasil Seguradora S.A.
insurers,28,Sura,Seguros Sura S.A.
insurers,29,Essor,Essor Seguros S.A.
insurers,30,Pottencial,Pottencial Seguradora S.A.
insurers,31,Austral,Austral Seguradora S.A.
insurers,32,AKAD,AKAD Seguros S.A.
insurers,33,Aliança do Brasil,Aliança do Brasil Seguros S.A.
insurers,34,Kovr,Kovr Seguradora S.A.
insurers,35,Fator Seguradora,Fator Seguradora S.A.
insurers,36,Mitsui Sumitomo,Mitsui Sumitomo Seguros S.A.
insurers,37,Junto,Junto Seguros S.A.
insurers,38,Alfa Seguradora,Alfa Seguradora S.A.
insurers,39,Sancor,Sancor Seguros do Brasil S.A.
insurers,40,Berkley International Brasil,Berkley International do Brasil Seguros S.A.
insurers,41,Excelsior,Companhia Excelsior de Seguros
insurers,42,Sombrero,Sombrero Seguros S.A
insurers,43,Banestes Seguros,Banestes Seguros S.A.
insurers,44,Santander Auto,Santander Auto S.A.
insurers,45,HDI Seguros do Brasil,HDI Seguros do Brasil S.A.
insurers,46,Gente Seguradora,Gente Seguradora S.A.
insurers,47,BMG Seguros,BMG Seguros S.A.
insurers,48,Euler Hermes,Euler Hermes Seguros S.A.
insurers,49,Gazin,Gazin Seguros S.A.
insurers,50,Coface Brasil,Coface do Brasil Seguros de Crédito S.A.
