rank_2024,empresa,razao_social,cnpj_basico,cnpj_full,listed_flag,listed_source,soe_flag,soe_source,controlador_tipo,freeze_status_hint,notes,source_doc,cnpj_source,retrieved_at
31,CSN,Companhia Siderúrgica Nacional,33042730,33042730000104,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=4030 CNPJ=33.042.730/0001-04 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=CIA SIDERURGICA NACIONAL,false,Privatized 1993. CVM CONTROLE_ACIONARIO=PRIVADO. Not União-controlled.,listed,pending,RF COMPANHIA SIDERURGICA NACIONAL natureza=2046. Do not use CSN Mineração S.A. 08.902.291/0001-15 (listed subsidiary).,CVM cad_cia_aberta CD_CVM=4030; BD br_me_cnpj cnpj_basico=33042730,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
32,Volkswagen,Volkswagen do Brasil Indústria de Veículos Automotores Ltda.,59104422,59104422000150,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a federal SOE. Ltda natureza=2062.,foreign,pending,"Valor capital_origem=AL (Alemanha). RF VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA capital=19678941674. Parent Volkswagen AG, Wolfsburg. Not CVM cia aberta.",Valor capital_origem=AL; BD br_me_cnpj cnpj_basico=59104422; CVM no ATIVO row,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
33,CPFL Energia,CPFL Energia S.A.,02429144,02429144000193,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=18660 CNPJ=02.429.144/0001-93 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO HOLDING DENOM_SOCIAL=CPFL ENERGIA SA,false,"Not a Brazilian federal SOE. Controller is State Grid Corporation of China, not União. CVM CONTROLE_ACIONARIO=PRIVADO HOLDING.",foreign,pending,"Valor capital_origem=CH. CPFL RI estrutura acionária (base 28/02/2026): 'A State Grid Corporation of China (SGCC) controla a CPFL Energia por meio de suas subsidiárias ...'. grupocpfl.com.br/institucional/state-grid: SGBP assumed control in 2017, 83.7% of capital. listed_flag=true; controlador_tipo=foreign. Do not use CPFL Energias Renováveis S.A. 08.439.659/0001-50.",https://ri.cpfl.com.br/show.aspx?idCanal=s+78jgyHqZFHM4kmlz0plA%3D%3D; https://www.grupocpfl.com.br/institucional/state-grid; CVM cad_cia_aberta CD_CVM=18660; BD br_me_cnpj cnpj_basico=02429144,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
34,Grupo Simpar,Simpar S.A.,07415333,07415333000120,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=25003 CNPJ=07.415.333/0001-20 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=SIMPAR S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF SIMPAR S.A. natureza=2046.,CVM cad_cia_aberta CD_CVM=25003; BD br_me_cnpj cnpj_basico=07415333,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
35,Amaggi,André Maggi Participações S.A.,04786144,04786144000176,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a federal SOE. Natureza=2054.,unlisted,pending,Brazilian unlisted holding. RF ANDRE MAGGI PARTICIPACOES S/A capital=4385688278 sede MT. QSA later is sócio not UBO. Public act naming PF Art. 116 controller required for freeze person (#25); else hole.,BD br_me_cnpj cnpj_basico=04786144; CVM no ATIVO row; Valor capital_origem=BR,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
36,Eletrobras,Centrais Elétricas Brasileiras S.A.,00001180,00001180000126,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=2437 CNPJ=00.001.180/0001-26 CATEG_REG=Categoria A CONTROLE_ACIONARIO=ESTATAL DENOM_SOCIAL=AXIA ENERGIA S.A.; B3 ticker migration to AXIA3/AXIA7 (Novo Mercado Jun 2026 per company IR). CVM DENOM_SOCIAL now AXIA ENERGIA S.A. same CNPJ.,false,"NOT União Art. 116 controller. Company IR (ri.axia.com.br perfil corporativo): 'celebramos em março de 2025 o acordo com o Governo Federal, reafirmando o limite de voto no patamar de 10% do capital votante, nos consolidando como uma True Corporation.' Guia de Governança Axia: since 17 Jun 2022 'companhia sem controlador definido (Corporation)'. AGU 26 Mar 2025: União gets 3 CA seats + 1 CF seat by separate election — board rights, not majority AG control. CVM CONTROLE_ACIONARIO=ESTATAL is STALE relative to Lei 14.182/2021 privatization + company IR. RF still CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS natureza=2046 (not 2038). Rejected AXIA ENERGIA S.A. cnpj_basico=59275417 capital=1000 (unrelated shell).",listed,pending,"Valor still labels the group Eletrobras. RF razao not yet renamed to Axia; CVM denom is Axia Energia S.A. Same CNPJ 00.001.180/0001-26. soe_flag=false so freeze_status_hint=pending not skip_soe. FRE 6.1 expected empty (no controlador) → hole on #25, not PF stand-in. Do not freeze CEO/minister/CA chair.",https://ri.axia.com.br/a-axia/perfil-corporativo/; CVM cad_cia_aberta CD_CVM=2437 CNPJ=00.001.180/0001-26; BD br_me_cnpj cnpj_basico=00001180; https://www.gov.br/agu/pt-br/comunicacao/noticias/agu-e-eletrobras-finalizam-negociacoes-que-definem-governanca-da-empresa,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
37,Cemig,Companhia Energética de Minas Gerais,17155730,17155730000164,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=2453 CNPJ=17.155.730/0001-64 CATEG_REG=Categoria A CONTROLE_ACIONARIO=ESTATAL DENOM_SOCIAL=CIA ENERG MINAS GERAIS - CEMIG,false,"Controller is Estado de Minas Gerais, NOT União. Spec soe_flag=true only if União is the controller / federal SOE. Cemig RI composição acionária (ref. Jul 2026, updated 5 Aug 2026): Estado de Minas Gerais 50.97% ON (17.04% total). Fato relevante 01 Aug 2025: 'Estado de Minas Gerais, acionista controlador da Companhia'. Natureza=2038 (economia mista estadual). CVM CONTROLE_ACIONARIO=ESTATAL refers to state, not federal União.",listed,pending,"State SOE (MG), not federal. freeze_status_hint remains pending per spec (skip_soe only if soe_flag). Ticket #25 must NOT emit a PF controlador: the named controller is Estado de MG (not a natural person). Do not freeze CEO/governor/CA chair. Possible future Propag/federalization is not yet control.",https://ri.cemig.com.br/governanca-corporativa/composicao-acionaria; Cemig Fato Relevante 2025-08-01 CNPJ 17.155.730/0001-64; CVM cad_cia_aberta CD_CVM=2453; BD br_me_cnpj cnpj_basico=17155730,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
38,RD Saúde,Raia Drogasil S.A.,61585865,61585865000151,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=5258 CNPJ=61.585.865/0001-51 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=RAIA DROGASIL S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF RAIA DROGASIL S/A natureza=2046 nome_fantasia=RD SAUDE.,CVM cad_cia_aberta CD_CVM=5258; BD br_me_cnpj cnpj_basico=61585865,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
39,Louis Dreyfus Company,Louis Dreyfus Company Brasil S.A.,47067525,47067525000108,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a federal SOE. Natureza=2054.,foreign,pending,Valor capital_origem=FR. RF LOUIS DREYFUS COMPANY BRASIL S.A. capital=1645461888.83. Parent Louis Dreyfus Company (France). Not CVM cia aberta.,Valor capital_origem=FR; BD br_me_cnpj cnpj_basico=47067525; CVM no ATIVO row,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
40,Magazine Luiza,Magazine Luiza S.A.,47960950,47960950000121,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=22470 CNPJ=47.960.950/0001-21 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=MAGAZINE LUIZA SA,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF MAGAZINE LUIZA S/A natureza=2046.,CVM cad_cia_aberta CD_CVM=22470; BD br_me_cnpj cnpj_basico=47960950,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
41,WEG,WEG S.A.,84429695,84429695000111,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=5410 CNPJ=84.429.695/0001-11 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO HOLDING DENOM_SOCIAL=WEG SA,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO HOLDING.,listed,pending,RF WEG SA natureza=2046.,CVM cad_cia_aberta CD_CVM=5410; BD br_me_cnpj cnpj_basico=84429695,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
42,Localiza&Co,Localiza Rent a Car S.A.,16670085,16670085000155,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=19739 CNPJ=16.670.085/0001-55 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=LOCALIZA RENT A CAR SA,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF LOCALIZA RENT A CAR SA natureza=2046.,CVM cad_cia_aberta CD_CVM=19739; BD br_me_cnpj cnpj_basico=16670085,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
43,Sabesp,Cia. de Saneamento Básico do Estado de São Paulo,43776517,43776517000180,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=14443 CNPJ=43.776.517/0001-80 CATEG_REG=Categoria A CONTROLE_ACIONARIO=ESTATAL DENOM_SOCIAL=CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,false,"NOT União-controlled. Not even Estado-SP majority after Jul 2024 privatization. Sabesp RI composição acionária data-base 31/07/2026: Governo do Estado de São Paulo 18.0% (incl. 1 PN golden share); Equatorial 15.0%; others 66.5%. Agência Brasil 23 Jul 2024: SP sold 32%, remaining 18.3%. CVM CONTROLE_ACIONARIO=ESTATAL is STALE. Natureza=2046 (not 2038).",listed,pending,"Brazilian listed, no União controller, no defined Art. 116 PF controller on the RI table. FRE 6.1 likely empty / corporation → hole on #25. Do not freeze CEO or Equatorial as controlador without FRE 6.1. Equatorial is 'investidor de referência' 15%, not majority.",https://ri.sabesp.com.br/governanca-corporativa/composicao-acionaria/; CVM cad_cia_aberta CD_CVM=14443; BD br_me_cnpj cnpj_basico=43776517; Agência Brasil 2024-07-23 privatization,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
44,Comexport,Comexport Cia. de Comércio Exterior,43633296,43633296000190,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a federal SOE. Natureza=2054.,unlisted,pending,RF COMEXPORT COMPANHIA DE COMERCIO EXTERIOR capital=2000000000 natureza=2054 matches Valor razao. LIKE 'COMEXPORT%' hits many small trading firms with capital 0 — those were rejected. Unlisted Brazilian SA.,BD br_me_cnpj cnpj_basico=43633296; CVM no ATIVO row; Valor capital_origem=BR,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
45,Embraer,Embraer S.A.,07689002,07689002000189,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=20087 CNPJ=07.689.002/0001-89 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=EMBRAER S.A.,false,Privatized 1994. CVM CONTROLE_ACIONARIO=PRIVADO. União golden share (if any remaining) is not Art. 116 majority control. Natureza=2046. Not on SEST União-majority list as controller of this issuer in the same way as Petrobras Carta Anual.,listed,pending,"Brazilian listed. Corporation/golden-share nuances belong in #25 FRE 6.1 walk, not soe_flag.",CVM cad_cia_aberta CD_CVM=20087; BD br_me_cnpj cnpj_basico=07689002,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
46,Honda,Honda South America Ltda.,43149806,43149806000159,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a federal SOE. Ltda natureza=2062.,foreign,pending,"Valor capital_origem=JP. RF exact HONDA SOUTH AMERICA LTDA. capital=119027624 — name matches Valor razao_social exactly. Capital is small vs group FY2024 revenue (R$ 35bn); this looks like a regional holding, not the main auto plant, but we do not substitute a different Honda operating company without Valor naming it. Parent Honda Motor Co., Ltd. (Japan).",Valor capital_origem=JP and razao_social=Honda South America Ltda.; BD br_me_cnpj cnpj_basico=43149806; CVM no ATIVO row,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
47,Latam,TAM S.A.,01832635,01832635000118,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=CANCELADA CD_CVM=16390 CNPJ=01.832.635/0001-18 DT_CANCEL=2012-07-18 DENOM_SOCIAL=TAM S.A.,false,Not a federal SOE. Natureza=2054 after cancel.,foreign,pending,Valor capital_origem=BR/CL. Brazilian TAM S.A. listing cancelled 2012-07-18; RF TAM S/A. capital=6123436976.91. Group parent is LATAM Airlines Group S.A. (Chile). Brazilian CEO is not default controller.,CVM cad_cia_aberta CD_CVM=16390 DT_CANCEL=2012-07-18; Valor capital_origem=BR/CL; BD br_me_cnpj cnpj_basico=01832635,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
48,Minerva Foods,Minerva S.A.,67620377,67620377000114,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=20931 CNPJ=67.620.377/0001-14 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=MINERVA S/A,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF MINERVA S.A. natureza=2046.,CVM cad_cia_aberta CD_CVM=20931; BD br_me_cnpj cnpj_basico=67620377,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
49,Energisa,Energisa S.A.,00864214,00864214000106,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=15253 CNPJ=00.864.214/0001-06 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=ENERGISA SA,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF ENERGISA S/A natureza=2046. Exact 'ENERGISA S.A.' missed because RF uses S/A.,CVM cad_cia_aberta CD_CVM=15253; BD br_me_cnpj cnpj_basico=00864214,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
50,Grupo Mateus,Grupo Mateus S.A.,24990777,24990777000109,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=25186 CNPJ=24.990.777/0001-09 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO HOLDING DENOM_SOCIAL=GRUPO MATEUS S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO HOLDING.,listed,pending,CVM SIT=ATIVO Categoria A so listed_flag=true. RF natureza_juridica=2054 (SA fechada) lags CVM listing — we do not override CVM ATIVO with RF natureza.,CVM cad_cia_aberta CD_CVM=25186; BD br_me_cnpj cnpj_basico=24990777,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
